ግዕዝ ,ትግርኛ 
ለሐሰ,ተሰደደ
ለቀሰ,በኸየ፡ ኣልቀሰ
ለብሰ,ለበሰ፡ ተኸድነ
ለንጰሰ,ኣብርሀ፡ ኣንጸባረቐ
ለክሰ,ተመሓሓለ
ልሕሰ,ለሓሰ
ሎሰ,ለወሰ
ኀመሰ,ኃሙሽተ ገበረ
ሐመሰ,ሓምበሰ
ሐረሰ,ሓረሰ፡ ጠንቈለ፡ ኣደላደለ፡ ኣሓንቀቐ፡ ተኸናኸነ፡ተዛረበ፡ ኣዋለደ
ሐበሰ,ሓበሰ (ኣብ ቤት ማእሰርቲ ኣእተወ)
ሐንከሰ,ሓንከሰ፡ ተጠራጠረ፡ ተወላወለ
ሐንፈሰ,ተጠራጠረ፡ ተወላወለ
ሐደሰ,ሓደሰ
ሐፈሰ,-ሓፈሰ፡ ዓሞዀ
ሔሰ,ነቐፈ
መሐሰ,ኰዓተ፡ መሓሰ፡ ኣፍለሰ
መለሰ,መለሰ፡ ማሕማሕ በለ
መለሰ,ኣንጸባረቐ
መረሰ,ጸምለወ፡ ተባላሸወ
መረሰ,በስበሰ፡ ረሓሰ
መቀሰ,ፈለየ
መቈሰ,ተጻልኣ፡ ኣግለለ
መንኰሰ,ተፈልየ፡ መንኰሰ፡ ሞተ
መየሰ,ሜስ ገበረ
ሜሰ,ዓደለ
ሞቀሰ,ሓበለ
ሠለሰ,ሠለስተ ገበረ
ረምሰ,ረሓሰ
ረምሰሰ,ረምሰሰ፡ ዳህሰሰ
ረኵሰ,ረኸሰ፡ ረስሐ
ርሕሰ,ረሓሰ፡ ጠለለ
ሮሰ,ወለደ (ንወዲ)
ሰኰሰ,ጐደለ፡ ጸረገ
ሰኰሰ,ተኣከበ፡ ሃደመ
ሰደሰ,ሽዱሽተ ገበረ
ቀሰ,ቀሰሰ፡ ኣገልገለ
ቀርቄሰ,ገበጣ ተጻወተ
ቀደሰ,ኣመስገነ፡ ፈለየ
ቈስቈሰ,ኣሳወረ፡ ቀስቀሰ
ብዕሰ,በኣሰ፡ ገደደ
ተሐበሰ,ተሓበሰ፡ ተኣስረ
ተሐውሰ,ተነቓነቐ፡ ተሓወሰ
ተለሐሰ,ተሰደደ
ተላወሰ,ተንቀሳቐሰ፡ ተላወሰ
ተመርሰ,ማሰነ፡ በስበሰ፡ ቈሰለ
ተቆመሰ,ቆሞስ ኮነ
ተመቈሰ,ተፈልየ፡ ተመንቈሰ
ተመነሰ,ተጻልአ፡ ተኸራኸረ፡ ተማጐተ
ተሞገሰ,ቀራባይ፡ ፈታዊ ኾነ
ተርኰሰ,ወልዐ፡ ኣንደደ
ተቃለሰ,ተቓለሰ
ተበአሰ,ተባኣሰ፡ ተጻልአ
ተተርአሰ,ተተርኣሰ
ተንፈሰ,ተንፈሰ
ተኣንሰሰ,እንስሳ ኾነ
ተኣንበሰ,ኣንበሳ ኾነ
ተኣውሰ,ብገዛእ ርእሱ ተኸበረ፡ ተዓበየ
ተከነሰ,ሓደ ኾነ
ተከወሰ,ተነቓነቐ፡ ተኾሰ
ተዋቀሰ,ተማጐተ፡ ተበኣሰ፡ ተኻሰሰ
ተከውሰ,ተደባለቐ፡ ተናወዐ፡ ተኸውሰ
ተውሕሰ,ተዋሕሰ
ተየከሰ,መርመረ
ተደነሰ,ረኸሰ፡ ኃጥእ ኮነ
ተጰጰሰ,ጵጵስና ተሸመ
ተፀነሰ,ተሸገረ፡ ተጸገመ
ተፀንሰ,ተጸንሰ
ተጸወሰ፡ ተፀወሰ,ልሙስ ኮነ፡ ለመሰ
ተፈርነሰ,ኣዝዩ ጠዓሞ፡ ሓንቀቐ
ተፋለሰ,ከርተት በለ፡ ዘወረ
ተፋለሰ,ተጻልአ፡ ተኸራኸረ
ተፋለሰ,ተፈላለየ
ተፋሰሰ,ዕፃ ተዋደቐ
ታኤሰ,ተገዝአ
ነሐሰ,ናሕሲ ሠርሐ
ነስነሰ,ነስነሰ፡ በተነ (ንሰቲ)
ነቀሰ,ፈለየ
ነፍሰ,ነፈሰ
ንኅሰ,ነጽነጸ
ንእሰ,ነኣሰ
ኀየሰ,ሓሸ፡ በለጸ
ኀይሰ,ኃዘነ፡ ጐሃየ
አሕረሰ,ኣዕበየ፡ ኣሕረሰ
አልኆሰሰ,ሕሹኽ ሕሹዅ በለ
አስተንአሰ,ኣንኣሰ፡ ኣቃለለ፡ ኣጕደለ
አርመስመሰ,ኣዕነይነየ
አርመስመሰ,ሰጐደ
አርመሰሰ,ጸጥ ኣበለ
አበሰ,በደለ፡ ኣበሰ
አናብለሰ,ኣቃጨለ፡ ሃረመ
አንበስበሰ,ተመላለሰ፡ ቋሕ ሰም ኣበለ
አንገሥገሰ,ወዝወዘ
አንፈሰ,ዓረፈ፡ ኣዕረፈ
አንፈሰ,ባህ ኣበለ፡ ተንፈሰ
አክወሰ አኮሰ,ኣኾሰ፡ ኣደባለቐ፡ ሓዋወሰ
አወሰ,ኣደባለቐ፡ ተዓበየ፡ ተጃህረ
አውሐሰ,ኣውሓሰ
አየሰ,ተቐንዘወ፡ ተጨነቐ
አጠሰ,ዕንጥሾው በለ
ኣጰጰሰ,ጵጵስና ሸመ
አጽሐሰ,ኣሸብሸበ፡ ኣስረገጸ
አጽረሰ,ኣጉረፈ፡ ኣሽረፈ፡ ኣጓህመመ
አፍለሰ,ኣፍለሰ፡ ኣግዓዘ
አፍረሰ,ኣፍረሰ፡ ኣዕነወ
ኤሰ,ተዓገሠ
ከልሰሰ,ኰልሰሰ፡ ኣሠረ፡ ኰመረ
ከርተሰ,ጸሓፈ
ከበሰ,ከበሰ፡ ጠምጠመ
ኮሰ,ነቕነቐ፡ ሃወኸ
ኰሰ,ፈለየ፡ ነቐፈ፡ ጸረገ
ኰሰ,ኣጥፍኦ፡ ወረሰ
ኵሕሰ,ሰፍሐ (ስፍሓት ቊስሊ)
ኵሕሰ,ሃገረ፡ ሓርበኛ ኾነ
ወረሰ,ወረሰ
ወቀሰ,ወቐሰ፡ ዘለፈ፡ ነቐፈ
ወደሰ,ኸሰሰ፡ ተዛረበ
ወደሰ,ወደሰ፡ ኣመስገነ፡ ነኣደ
ወጠሰ,ኣንደደ
ወጥሰ,ነደደ፡ ባልባል በለ
ዘልገሰ,ደዌ ሥጋ ሓመመ
የብሰ,ደረቐ፡ ነቐጸ
ደመሰ,ሸፈነ
ደምሰሰ,ደምሰሰ፡ ኣጥፍአ
ደረሰ,ደረሰ(ድርሰት)
ደቀሰ,ደቀሰ
ገሰገሰ,ለሰነ፡ በየደ፡ ደፈነ
ገብሰሰ,ኣረገ፡ ለሰነ፡ ለቕለቐ
ጌረሰ,ኣጻወደ
ጌነሰ,ደኸየ፡ ተሸገረ
ጠረሰ,ጐረፈ፡ ሸረፈ፡ ጓህመመ
ጠቀሰ,ጠቐሰ
ጠብሰ,ጠበሰ
ጤሰ,ተኸኸ፡ ጐሃየ
ጸርሰ,ኳዀየ
ጸብሰ,ሓበጠ፡ ድምብልብል በለ
ጸብሰ,ደኸመ፡ ልሙስ ኮነ
ጸንሰ,ጠነሰ
ጽሕሰ,ኣሸብሸበ፡ ረገጸ
ፈሐሰ,ፈሓሰ፡ ፈተለ
ፈረሰ,ፈረሰ፡ ዓነወ
ፈወሰ,ፈወሰ፡ ኣድኃነ
ፈደሰ,ፈደሰ፡ በጥሐ
ለቀቀ,ኣቆራነየ፡ ኣሠረ
ለቅለቀ,ለቕለቐ
ለቅለቀ,ለበጠ፡ ለበደ፡ በየደ
ለጸቀ,ተጣበቐ፡ ተላገበ
ለጸቀ,ተቐበለ፡ ቈረበ
ለጸቀ,በጽሐ፡ ቐረበ፡ ሓደ ኾነ
ለፈቀ,ተጠራጠረ፡ ተወላወለ
ሌቀ,ሊቅ ኮነ
ልሕቀ,ዓበየ፡ ኣረገ
ሎቀ,ለቐቐ፡ ፈነወ
ሐለቀ,ዘወረ፡ ክቢ ኾነ
ሐልቀ,ተወድአ
ሐመቀ,ሓመቐ፡ ተሳዕረ፡ ከፍአ
ሐቀቀ,ኣደላደለ
ሐብቀቀ,ገፈፈ
ሐብቈቈ,ኣረካከሰ፡ ደባለቐ
ሐንቀቀ,ሸታሕ በለ፡ ዘምበለ
ሐንቀቀ,ሓንቀቐ
ኈለቈ,ቈጸረ፡ ፈቐደ፡ ሓሰበ
በረቀ,በረቐ፡ ብልጭ/ማሕ በለ
ባለቀ,ጨፈረ
መሠቀ,ጸረበ
መቀቀ,ቐለወ፡ ቃዕቃዕ በለ (ንጐረሮ)
መንቀቀ,ዓደለ
መጠቀ,ነውን
ሞቀ,ሞቐ፡ ማሞቘ
ሠዘቀ,ተወልደ፡ ወፅአ
ረቀ,ረቐቐ፡ ቀጠነ
ረፈቀ,ተቐመጠ፡ ኮፍ በለ
ርኅቀ,ረኃቐ
ሰሐቀ,ሰሓቐ
ሰለቀ,ሰለቐ፡ ኣላገጸ
ሰረቀ,ሰረቐ
ሰቅስቀ,ከፋፈለ፡ መስኮት ሠርሐ
ሰነቀ,ሰነቐ
ሰንሆቀ,በጥሐ፡ ጠብሐ
ሰደቀ,ፈለየ፡ ኰልዐ
ሰደቀ,ኣልዘበ፡ ጨፍለቐ
ሰደቀ,ኣልበሰ፡ ከደነ
ሰጠቀ,ሰንጠቐ
ሶቀ,ደገፈ፡ ሓገዘ
ተሐብቈቈ,ተሓዋወሰ፡ ተደባለቐ
ተላጸቀ,ሓደ ኾነ፡ ተላገበ
ተማወቀ,ተማሞቘ
ተሳለቀ,ተላገጸ፡ ተሳለቐ
ተባሕቈቈ,ተጻናበረ
ተአረቀ,ተዓረቐ
ተዐርቀ,ዕራቑ ኾነ፡ ጥራሑ ኾነ
ተዐውቀ,ተፈልጠ
ተዳደቀ,ተጻልአ
ተዳደቀ,ሰዓበ፡ በጽሐ
ተዳደቀ,ተራኸበ፡ ተጋጠመ
ተጠለቀ,ረኸሰ
ተጠወቀ,ተጠወቐ፡ ተጨነቐ፡ ከፍአ
ተጠውቀ,ተጸባበየ፡ ተሓላለወ
ተጣበቀ,ተጣበቐ
ተጸደቀ,ተሓንከረ (መጠቓ
ተጽዕቀ,ተጨነቐ
ነሰቀ,እምኒ ኣንጸፈ
ነደቀ,ነደቐ
ነፈቀ,ከፈለ
ናፈቀ,ተጠራጠረ፡ ተወላወለ
አልጸቀ,በጽሐ
ዐመቀ,ዓመቘ
አሰቀ,ሽቦ ሠርሐ፡ ጠቕለለ
አስተሐመቀ,ኣቃለለ፡ ነዓቐ
አስተማወቀ,ኣማሞቘ
አስተርኀቀ,ኣወገደ፡ ኣርኃቐ
አበቀ,ዓበቐ፡ ሓኸኸ
አነቀ,ኣሠረ፡ ሸለመ
አንጸብረቀ,ኣብለጭለጨ፡ ኣንጸብረቐ
ኣፆቀ,ኣፍለጠ
አዜቀ,ሓኸኸ
አድለቅለቀ,ኣድለቕለቐ፡ ኣናወፀ፡ ኣዕለቕለቐ
አድቀቀ,ኣድከመ፡ ኣድቀቐ
አጠቀ,ዓጠቐ፡ ኣጥቅዐ
አጠቀ,ኣጽንዐ፡ ኣጨነቐ
አጥለቀ,ሰልከየ (ንመግቢ)
አጥመቀ,ኣጥመቐ
አጥረቀ,ኣጻሕጽሐ፡ ጥሪቕ በለ
አጥበቀ,ኣጥበቐ
ከረቀ,ረሓሰ፡ ጠለለ
ወለቀ,ሰለዀ፡ መለቘ
ወሰቀ,ሰሓበ፡ ገተረ
ወረቀ,ጡፍ በለ
ወድቀ,ወደቐ፡ ተሳዕረ
ዐረቀ,ዓረቐ፡ ጠመየ፡ ጠፍአ፡ ባዶ ኾነ
የቀ,ፈለጠ፡ ሓለወ
ዘሐቀ,ገፈፈ፡ ለቖታ ኣውፅአ
ዘረቀ,ወግአ
ዘርዜቀ,ነፈየ (ብመንፊት)
ደመቀ,ጨፍለቐ፡ ወግአ
ደመቀ,ቀጠነ
ደቀቀ,ደቐቐ፡ ለሓመ፡ ወቐጠ
ደቀቀ,ዓበረ
ደቀ፡ ደቀቀ,ቈልዓ ኾነ
ደደቀ,ወግኣ፡ ኃደጋ ኣውደቐ
ደደቀ,ሃንደበት በጽሐ፡ ወደቐ
ጒሕቘ,ጐበጠ፡ ኣረገ
- ጠለቀ,ሰልከየ፡ ጸገበ፡ ተጸየፈ
ጠለቀ,ረከሰ፡ ረስሐ
ጠረቀ,ጻሕጽሐ፡ ውፅኣት ሓመመ
ጠበቀ,ጠበቐ፡ ፈጥረቐ፡ ሓነቐ፡ ኃዘ
ጠንቀቀ,ለክዐ፡ ሰፈረ፡ በጽሐ፡ ተፈጸመ፡ ተጠን
ጠዐቀ,ኣጣበቐ፡ ኣጨነቐ
ጠዐቀ,ተጨነቐ
ጠየቀ,ኣረጋገጸ፡ ተረድአ
ጦቀ,ተጨነቐ
ጸረቀ,ሰንከተ፡ ቈረሰ
ጸንቀቀ,ለወሰ፡ ኣለከ
ፀዐቀ,ተጨነቐ
ጸየቀ,ጸየቐ፡ ኣበላሸወ
ጸድቀ,ጸደቐ
ጸድቀ,ሓቀኛ ኾነ
ጻፈቀ,ዓፀወ፡ ኳነየ፡ ሓጹር ሓጸረ
ጽሕቀ,ተግሀ፡ ቀልጠፈ
ፅዕቀ,ተጨነቐ
ፈሐቀ,ፈሓቘ
ፈለቀ,ፈልፈለ፡ መንጨወ
ፈለቀ,ፈሰሰ
ፈዘቀ,ፈጠረ፡ ኣድኃነ
ፈረቀ,ከፈለ፡ መቚነን ሃበ
ፈዐቀ,ፍልይ ፍልይ በለ
ፍሕቀ,ሰጐጐ፡ ፈለየ፡ ኣባረረ
ሕቀ,ሒደት፡ ንእሽቶ
ጥቀ,ኣዝዩ፡ እኳ፡ ብጣዕሚ
ለሀበ,ሞቐ፡ ረሰነ
ለበበ,ጨመተ፡ ለበመ
ለገበ,ለገበ፡ ሰፈየ
ልህበ,ሞቐ፡ ረሰነ
ሐለበ,ሓለበ
ሐሰበ,ሓሰበ፡ ቈጸረ፡ ፈቐደ
ሐበበ,መስተ ጸመቘ፡ ጸረፈ
ሬብኀበ,መሓለ
ሐንከበ,ሰፈረ፡ ዓሰለ
ሐዘበ,ሓሰበ፡ ቈጸረ
ሐዘበ,ጠርጠረ፡ ኣታለለ
ሐጠበ,ኣረየ (ንዕንፀቲ)
ሐፀበ,ሓፀበ
ሔረበ,ፈሓቘ
ሔበ,ገለለ፡ ቀድሐ
መረበ,ኣጻወደ
መገበ,መገበ፡ ሸመ
ማህበበ,ዓየየ፡ ሠርሐ
ማሕየበ,ቀድሐ፡ ገለለ
ማዕሰበ,ፍቱሕ ኮነ፡ ተፈትሐ
ሤበ,ሸየበ፡ ሰየበ
ረበ፡ ረበበ,ዘርግሐ፡ ነስነሰ፡ ኣግፍሐ
ረከበ,ረኸበ፡ በጽሐ
ረጥበ,ረሓሰ፡ ጠልቀየ
ርሕበ,ገፍሐ፡ ሰፍሐ
ርኅበ,ጠመየ
ሰሐበ,ሰሓበ፡ ጐተተ
ሰለበ,ሰለበ፡ ገፈፈ
ሰረበ,ሰረበ፡ ለሓዀ፡ መዓጐ
ሰበበ,ሰረጸ፡ ፈሰሰ
ሰብሰበ,ብሕጊ ተመርዓወ፡ ኃጥአ
ሰዐበ,ሰዓበ፡ ተኸተለ
ሰከበ,ደቀሰ
ሳሕበበ,ሳሕበበ፡ ሰበበ፡ ሰይሐ
ስዕበ,ረኸሰ፡ ረስሐ
ቀለበ,ገለባበጠ፡ ገላበጠ
ቀረበ,ቈረበ፡ ተቐበለ
ቀርበ,ቐረበ
ቀቀበ,ሰገበ፡ ሰፈር ሠርሐ
ቀንጠበ,ቀንጠበ
ቀጸበ,ጠቐሰ
ቈለበ,ቈረጸ፡ ሰለበ
ቈረበ,ቈረበ፡ ተቐበለ
ተሐሰበ,ተቘጻጸረ፡ ተሓሳሰበ
ተሀበበ,ተጻረፈ
ተሐበበ,ግብሪ ሰዶም ገበረ
ተኀበበ,ወደቐ፡ ሰገደ
ተሐዘበ,ተጠራጠረ፡ ተወላወለ
ተሐዘበ,ተቘጽረ
ተመንደበ,ሰኣነ፡ ደኸየ፡ ተጸገመ፡ ተመንደበ
ተመክዐበ,ተራብሐ፡ ካዕበት ኮነ
ተአፅበ,ተጨነቐ
ተከለበ,ኃለፈ
ተገልበበ,ተሸፋፈነ፡ ተጐልበበ
ተጠበ,ተተናዀለ፡ ተጣበበ
ተጸግበ,ተመንወ፡ ተጸግበ
ነሐበ,ሠርሐ፡ ቀጥቀጠ
ነቀበ,ፈለየ፡ ኣግለለ፡ ተመሥጠ
ነቀበ,ኣፍርሀ፡ ኣሰምበደ
ነበ፡ ነበበ,ተዛረበ፡ ኣንበበ
ነጥበ,ነጠበ
አመክዐበ,ዕጽፍን ድርብን ገበረ
ኣማዕቀበ,ሓደራ በለ፡ ኣማዕቘበ
ኣማዕተበ,ኣማዕተበ፡ ኣመልከተ
ኣሰበ,ዓስቢ ሃበ
አስረበ,ኣስረበ፡ ኣምዓጐ
አስበበ,ሕጉስ ኮነ፡ ወዲቑ ሰገደ
አስተሀበበ,ተጻረፈ፡ ተላገጸ፡ ተጠቓቐሰ
አስተሐበበ,ንበይኑ ጸረፈ (ብትካዘ)
አስተሐዘበ,ከሰሰ፡ ኣኅሊፉ ሃበ
አስተሐዘበ,ኣካፍአ
ዐስተሐፀበ,ተሰቀቐ
አስተራከበ,ኣራኸበ
አስተርከበ,ኣዋሃደ፡ ኣሰማምዐ
አስተርከበ,ሓሰበ፡ ኣስተውዓለ
አስተርከበ,ኣቕረበ
አስተአዘበ,ተጸግዐ፡ ኣጸግዐ
ኣስተአፀበ,ኣደነቐ፡ ኣገረመ
ዐርበ,ዓረበ
ዐቀበ,ዓቀበ፡ ሓለወ
አተበ,ዓተበ፡ ባረኸ፡ ሓተመ
አንበበ,ኣንበበ፡ ተዛረበ
አንጠብጠበ,ኣንጠብጠበ
አውሰበ,ሰበይቲ ኣእተወ፡ ተመርዓወ
አውከበ,ኣድከመ
አውገበ,ኣዀረየ
አውገበ,ሃንደበት ሓደጋ ኣብጽሐ
ኣውጸበ,ቀለቤት ሠርሐ
አዘበ,ጐንጐነ፡ ደገፈ፡ ቈነነ (ንጭራ)
አጸብጸበ,ኣጒሃየ፡ ኣቚሰለ
አጥበበ,ኣራቐቐ፡ ኣጥበበ፡ ኣለበመ
አጸበ,ቀብአ
ዐፀበ,ኣጨነቐ
ኣጸብጸበ,ኣቋራጭ መገዲ ኣውፅኣ
ኣጽሐበ,ነዝነዘ፡ ላሕ ኣበለ፡ ኣሐለለ
ከለበ,ኃለፈ
ከሰበ,ገዘረ፡ ከንሸበ
ከረበ,ሰቐለ፡ ጠልጠል ኣበለ
ከበበ,ሸመ፡ ከበበ
ከብከበ,ጸምበለ፡ ከብከበ
ኰረበ,ጸረበ
ወሀበ,ሃበ፡ መጠወ
ወረበበ,ነስነሰ
ወከበ,መሰለ፡ ተግሀ፡ ተሃወኸ
ዘረበ,ሃረመ፡ ወቕዐ
ዘገበ,ደለበ፡ ከዘነ
የበበ,ዕልል በለ (ዓለለ)
ደበ፡ ደበበ,ዘርግሐ፡ ደበበ
ደብደበ,ጐሃየ፡ ተጣዕሰ፡ ፈርሀ
ደብደበ,ኣድከመ፡ ተጨነቐ
ገለበ,ነገረ፡ ኃዘ
ገለበ,ኀብአ፡ ኣጻወደ
ገለበ,ኣስጐጐ፡ ገለበ
ገልበበ,ሸፈነ፡ ጐልበበ
ጠቀበ,ሰፈየ፡ ለገበ
ጠበ፡ ጠበበ,ብልሂ ጠቢብ ለባም/ወሓለ ኮነ፡ ተጣበበ
ጠበጠበ,ኣተዓራረየ፡ ኣስልሐ
ጠብጠበ,ገረፈ
ጤበ,ቀብአ፡ ኰሓለ
ጤበ,መረገ፡ ኣደንቈረ
ፀሐበ,በስዐ፡ ኣንኰለ
ጸለበ,ሰቐለ፡ ኣንጠልጠለ
ጸረበ,ጸረበ
ጸበ,ጸበበ
ጸአበ,ጸንቀቐ፡ ጨለጠ
ጸወበ,ሰተየ፡ ጸንቀቐ
ጸወበ,ዓበረ፡ ቀጠነ
ጸግበ,ጸገበ
ኀበ,ናብ
በ,እና
ኀበ ኀበ,ብ
በበ,በቢ፡ ነኒ
ዐስበ,ዓስቢ፡ ደመወዝ
ዲበ,ልዕሊ፡ብልዕሊ
ሐለተ,መልመለ፡ ጸንጸለ (ንገረብ)
ሐመተ,ኣፍሓመ፡ ሕመት (ፈሓም) ገበረ
ሐርበተ,መከተ፡ በድሀ
ሐቤተ,ኣገልገለ
ሐብረተ,ወልወለ፡ሰሓለ፡ ኮልዐ፡ በየደ
ሓተተ,መርመረ፡ ሓተተ
ሐዘተ,መደበ፡ መደብ ሠርሐ (ንእዲ)
ሐየተ,ቀበዝበዝ በለ፡ ቀልባዕባዕ በለ
ሀግረተ,ፈጠነ፡ ተሃወኸ
ለተተ,ጸያፍ ኮነ፡ ኰርትዐ
ለግነተ,ገዓተ
መልሖተ,ጸሃየ
መመተ,ተሸበረ፡ ሃደመ
መሥረተ,መሥረተ
መረተ,ኣማረተ፡ ጠንቈለ
መርመተ,ፈላለየ
መጽወተ,መጽወተ፡ ተኾበ
ማህተተ,መስከረ
ማዕረተ,ሸፈነ
ሞተ,ሞተ
ሰለተ ሰሰተ,ተሳለቐ፡ ኣላገጸ፡ ኣቃለለ
ሰንሐተ,በጥሐ፡ ጠብሐ
ሰንበተ,ኣዕረፈ፡ ኣኽበረ
ሰንከተ,ሰንከተ
ሰንጸተ,ኣሰማምዐ፡ ወቀጠ
ሰከተ,ወግኣ፡ ሽኸተ፡ ሸኸለ
ሰክተተ,ሰኽተተ
ሰኮተ,ወልወል ኮነ፡ ጐልጎል ኮነ
ሴረተ,ሸመተ
ስሕተ,ሰሓተ፡ ተጋገየ፡ በደለ
ስኀተ፡ ሰኀተ,ዓረፈ፡ ኣዕረፈ
ሮተ,ወልወለ፡ ኣጽረየ
ቀብተተ,ነፍሐ፡ ተቘብቈበ
ቀተተ,ተመሓሓለ፡ ተወራረደ
ቀነተ,ተዓጥቀ፡ ተቐነተ
በነተ,ገበረ፡ ዕሽር ሃበ
በዘተ,ጨይሐ፡ ፈተገ
ቤተ,ኃደረ
ብሕተ,ሠልጠነ
ቦልተተ,ብልጭ በለ፡ ጽንጽሕለ ኾነ
ተማረተ,ኣጠንቈለ
ተሠይመተ,ሠልጠነ፡ ሥልጣን ረኸበ
ተትሕተ,ትሕት በለ፡ ተዋረደ
ተኣረተ,ተጨናነቐ
ተአግረተ,ፈጠነ፡ ቀልጠፈ
ተከተ,ደኸመ፡ ሰልከየ፡ ደም መርገም ወፅኦ
ተወልበተ,መዓጐ
ተዋከተ,ኣዕረምረመ፡ ኣዕዘምዘመ
ተጋህዘተ,ተቐዳደደ
መጽወተ,መጽወተ፡ ተኾበ
ማህተተ,መስከረ
ማዕረተ,ሸፈነ
ሞተ,ሞተ
ሰለተ ሰሰተ,ተሳለቐ፡ ኣላገጸ፡ ኣቃለለ
ሰንሐተ,በጥሐ፡ ጠብሐ
ሰንበተ,ኣዕረፈ፡ ኣኽበረ
ሰንከተ,ሰንከተ
ሰንጸተ,ኣሰማምዐ፡ ወቀጠ
ሰከተ,ወግኣ፡ ሽኸተ፡ ሽኸለ
ሰክተተ,ሰኽተተ
ሰኮተ,ወልወል ኮነ፡ ጐልጎል ኮነ
ሴረተ,ሸመተ
ስሕተ,ሰሓተ፡ ተጋገየ፡ በደለ
ስኀተ፡ ሰኈተ,ዓረፈ፡ ኣዕረፈ
ሮተ,ወልወለ፡ ኣጽረየ
ቀብተተ,ነፍሐ፡ ተቘብቈበ
ቀተተ,ተመሓሓለ፡ ተወራረደ
ቀነተ,ተዓጥቀ፡ ተቐነተ
በነተ,ገበረ፡ ዕሽር ሃበ
በዘተ,ጨይሐ፡ ፈተገ
ቤተ,ኃደረ
ብሕተ,ሠልጠነ
ቦልተተ,ብልጭ በለ፡ ጽንጽሕለ ኾነ
ተማረተ,ኣጠንቈለ
ተሠይመተ,ሠልጠነ፡ ሥልጣን ረኸበ
ተትሕተ,ትሕት በለ፡ ተዋረደ
ተአረተ,ተጨናነቐ
ተኣግረተ,ፈጠነ፡ ቀልጠፈ
ተከተ,ደኸመ፡ ሰልከየ፡ ደም መርገም ወፅኦ
ተወልበተ,መዓጐ
ተዋከተ,ኣዕረምረመ፡ ኣዕዘምዘመ
ተጋህዘተ,ተቐዳደደ
ተጋሀረተ,ዕግርግር በለ
ተጓትነተ,ተመራመረ፡ ተመርመረ
ነሰተ,ኣፍረሰ፡ ኣዕነወ
ነዐተ,ሰንከተ፡ ቀጨወ
አመርቈተ,ጐተነ (ንጸጕሪ)
አመተ,ኣመተ
አምዐተ,ሚእቲ ገበረ
አስረተ,ተሓቚፈ
አስተተ,ኣቃለለ፡ ነዓቐ፡ ኣጕደለ
አቅተተ,ኣስገረ፡ ዓሣ ገፈፈ
አቤተ,ኣምበርከኸ
ኣቤተ,ኣኅደረ
አትከተ,ኣድከመ፡ አሰልከየ
አትከተ,ሰልከየ፡ ደኸመ
አእተተ,ኣወገደ፡ ኣለየ
አእኰተ,ኣመስገነ
አክሞተተ,ኣኅደረ
አውከተ,ኣውክዐ፡ ዓው በለ
አየተ,ሓበጠ
አየተ,ኣንበረ፡ ኣቐመጠ
ዐገተ,ዓገተ፡ ኸበበ
አጻመተ,ኣጥፍአ፡ ጠረሰ
አጽመተ,ኣጽነተ፡ ባዶ ገበረ፡ ኣጥፍአ
ከሠተ,ገለጸ፡ ከሠተ
ከበተ,ኃብአ፡ ደፈነ፡ ሠወረ
ኰዐተ,ኰዓተ፡ ከበበ
ዘርበተ,ኣንጸፈ
ዘፈተ,ደፍደፈ (ንስዋ)
ዝሕተ,ተጠላለቐ፡ “ጽናሕ ጥራይ” ተበሃሃለ
ደበተ,ተጐምብሐ፡ ከበደ
ደፍነተ,ሰንከተ
ገመተ,ገመተ፡ ቈረጸ
ገብለተ,ደንዘዘ
ገንተተ,ብኃይሊ ተዛረበ፡ ዓው በሊ
ገዐተ,ገዓተ
ጋህረተ,ቐልጠፈ
ጐለተ,ጐለተ (ንጒልቲ)
ጌትነተ,መርመረ
ጸለተ,ሰንከተ
ጸልመተ,ጸልመተ
ጸበተ,መተ
ጸበተ,ሓምበሰ
ፈተተ,ፈትፈተ፡ ቈረሰ
ፈየተ,ዓመጸ፡ ሸፈተ፡ ከድዐ
ህየንተ/ ህየተ,ኣብ ክንዲ፡ ስለ፡ ከም
አንተ,ንስኻ፡ ኣንታ
አያተ,ኣየኖት
ዕሤተ,ስለ፡ ዋጋ
እንተ,ና፡ ብ፡ ናብ፡ እና፡ ዝ፡ ዚ
ውስተ,ውሽጢ፡ ብ፡ ብልዕሊ፡ ናብ
ውእተ,ሽዕኡ
ዘንተ,እዚ
ዛተ,እዚኣ
ይእተ,እቲኣ
ግብተ,ሃንደበት
ጽላሎተ,ከም
ሃይመነ,ተኣመነ፡ ኣመነ
ለሰነ,ኣቀባጠረ፡ ተዛረበ
ለጠነ,ኣመስገነ
ሐልየነ,መማለዲ ሃበ፡ ብላዕ ሃበ
ሐቈነ/ ሐቊነ,-ሓቘነ
ሐበነ,ጠምጠመ፡ ዓመመ
ሐወነ,ዓረፈ
ኀዘነ,ኀዘነ፡ ተቘጥዐ
ሐይደነ,ዓበደ
ሐፀነ,ኣዕበየ፡ ሓፀነ
ሐፈነ,ዝገነ፡ ሓፈነ፡ ሓፈሰ
መሐነ ምሕነ,ኢድ ነሥአ
መቀነ,ተጨነቐ
መነነ,ንዓቐ፡ መነነ
መክነ,መካን ኮነ፡ ባዶ ኾነ
መዘነ,መዘነ
መጠነ,ለክዐ፡ መጠነ፡ ዓቀነ
ማሰነ,ጠፍአ፡ ማሰነ
