ግዕዝ ,ትግርኛ 
ቅዳሴ,ምስጋና፡ ቅዳሴ
ቅድም,ቅድም
ቅድው,ጽቡቕ
ቅጥራን,ቅጥራን
ቅጽር,ቀጽሪ፡ መካበብያ
ቆላ,ቆላ
ቆሐልት,መጽሐፈ መክብብ
ቆም,ቁመና፡ ቁመት
ቆርኔሌ,ዝናር
ቆሮስ,መሰፈሪ (ምሰ)
ቆስያ,ሳምቡእ
ቆቅሕ/ ቆቃሕ,ቆቛሕ
ቆባር,ጣቓ
ቆብኒ,ትዃን
ቆብዕ,ቆቢዕ
ቆጶሮጢስ,ንግሥቲ ንህቢ
ቆጶን,ሣእኒ
ቆፎ/ ቀፎ,ቆፎ
ቈላፍ,ዘይተገዝረ፡ ዘይኣምን
ቈሳቍስ,ኣቚሑ ቤት
ቈርነናዕ,እንቁርዖብ
ቈስጤ,ሽምፍላ፡ ጨጐራ
ቈጠጥ/ መንኮብ,ዓባይ ዓባይቶ ኣጻብዕቲ
ቈልቷል,ቈልቷል
ቍልኤ,ዓስከር፡ ፈታዊ፡ ፍቁር
ቍልኤት,ከዳሚት፡ ኣገልጋሊት፡ ሸቃሊት
ቍልፍ,ቁልፊ
ቍማል,ቁማል
ቍስል,ቍስሊ
ቍር,ቍሪ
ቍርባን,ቁርባን፡ መሥዋዕቲ
ቁንስጣጌ,ኣረጊት ከልቢ
ቍንቍኔ,ነቐዝ፡ ቍንቍነ
ቍንጽ,ቁንጪ
ቍንጽል,ወኻርያ
ቍየጽ,ምሕኵልቲ
ቍጽ,ሰለፍ
ቋዕ,ኳ
በለሳን,ዘይቲ ኣውሊዕ
በለቅ,እብነ በረድ
በለው,ስረ
በለዝ,ጽኑዕ ዓንዲ
በልቀም,ሐሞት (መሬታዊ ጠባይ)
በሐ,ከመይ ውዒልካ፧
በሐኵ,ድዑል (ተባዕታይ በጊዕ)
በረድ,በረድ
በሪሆት/ በሪሰት,ምንጋጋ
በራሕ,በራሕ
በርህ,ብርሃን
በርሲም,ጽሕዲ
በርሴም,ጽሕዲ
በርፎሪኮን,ዝርው ቃል ሰብ
በቀል,በቐል፡ ምፍዳይ ሕነ
በቀልት,ስየ
በቅል,በቕሊ
በቍዔት,ረብሓ፡ ጥቕሚ
በትር,በትሪ
በዓል,በዓል፡ ጣዖት
በዓት,በዓቲ
በደይ,ንፍዮ(ሕማም)፡ ፍሮማይ
በዲዳስፋ,ሓደ ካብ ሰብ ጥበብ
በድር,በዓል አይሁድ
በድን,በድን (ሬሳ)
በድው,ምድረ በዳ
በግዕ,በጊዕ
በጢህ,ዱባ
በጥልሳት,ስም መጽሓፍ
በጸል,ፃዕዳ ሽጉርቲ
በኵር,በኵሪ፡ ሓለቓ
ቡኤዝ,ስም ሰብ
ቢልዮስ,ቃድራ (ዘይተሓርሰ)
ቢረሌ,ብርለ
ቢሬሲም,ጽሕዲ
ቢጸልቱማ,ቀይሕ ሽጉርቲ
ቢጽ,ብጻይ (ብጫይ)
ባህል,ኣባሃህላ፡ ባህሊ
ባህሩስ,ሻምብቆ
ባሉጥ,ኣውሊዕ
ባሕታዊ,ባሕታዊ (ንበይኑ)
ባሶር,ሥጋ
ባቡት,ጐብየ
ባቱል,ድንግል (ንጓል)
ባእስ,ባእሲ
ባዕ,ስድሪ
ባዕል,ሃብታም
ባዕድ,ባዕዲ
ቤል,ጣዖት
ቤልሆር,ሰይጣን
ቤሩሲም,ጽሕዲ
ቤርክታን,ኮረቻ ገመል
ቤተ አፍሶት,ሆስፒታል (መካነ ሕይወት)
ቤተ ድዉያን,እንዳ ሕሙማት (ሆስፒታል)
ቤተ ግዝእ,እንዳ ውራይ
